ticker,opt_strike_px,last_price,type,volume
SFRH8C 96 Comdty,96.0,0.935,c,
SFRH8C 96.125 Comdty,96.125,0.855,c,
SFRH8C 96.25 Comdty,96.25,0.7825,c,
SFRH8C 96.375 Comdty,96.375,0.7125,c,
SFRH8C 96.5 Comdty,96.5,0.6475,c,
SFRH8C 96.625 Comdty,96.625,0.5875,c,
SFRH8C 96.75 Comdty,96.75,0.535,c,
SFRH8C 96.875 Comdty,96.875,0.485,c,
SFRH8C 97 Comdty,97.0,0.44,c,
SFRH8C 97.125 Comdty,97.125,0.4,c,
SFRH8C 97.25 Comdty,97.25,0.3625,c,
SFRH8C 97.375 Comdty,97.375,0.33,c,
SFRH8C 97.5 Comdty,97.5,0.3,c,
SFRH8C 97.625 Comdty,97.625,0.2725,c,
SFRH8C 97.75 Comdty,97.75,0.245,c,
SFRH8C 97.875 Comdty,97.875,0.2225,c,
SFRH8C 98 Comdty,98.0,0.2,c,
SFRH8C 98.125 Comdty,98.125,0.18,c,
SFRH8C 98.25 Comdty,98.25,0.1625,c,
SFRH8C 98.375 Comdty,98.375,0.145,c,
SFRH8C 98.5 Comdty,98.5,0.1275,c,
SFRH8C 98.75 Comdty,98.75,0.1025,c,
SFRH8C 99 Comdty,99.0,0.08,c,
SFRH8C 99.25 Comdty,99.25,0.0625,c,
SFRH8C 99.5 Comdty,99.5,0.05,c,
SFRH8C 99.75 Comdty,99.75,0.0375,c,
SFRH8P 100 Comdty,100.0,3.53,p,
SFRH8P 100.25 Comdty,100.25,3.78,p,
SFRH8P 100.5 Comdty,100.5,4.03,p,
SFRH8P 100.75 Comdty,100.75,4.28,p,
SFRH8P 101 Comdty,101.0,4.53,p,
SFRH8P 101.25 Comdty,101.25,4.78,p,
SFRH8P 101.5 Comdty,101.5,5.03,p,
SFRH8P 101.75 Comdty,101.75,5.28,p,
SFRH8P 102 Comdty,102.0,5.53,p,
SFRH8P 102.25 Comdty,102.25,5.78,p,
SFRH8P 102.5 Comdty,102.5,6.03,p,
SFRH8P 90.25 Comdty,90.25,0.0175,p,
SFRH8P 90.5 Comdty,90.5,0.0175,p,
SFRH8P 90.75 Comdty,90.75,0.0175,p,
SFRH8P 91 Comdty,91.0,0.02,p,
SFRH8P 91.25 Comdty,91.25,0.025,p,
SFRH8P 91.5 Comdty,91.5,0.03,p,
SFRH8P 91.75 Comdty,91.75,0.0375,p,
SFRH8P 92 Comdty,92.0,0.045,p,
SFRH8P 92.25 Comdty,92.25,0.0525,p,
SFRH8P 92.5 Comdty,92.5,0.06,p,
SFRH8P 92.75 Comdty,92.75,0.07,p,
SFRH8P 93 Comdty,93.0,0.0825,p,
SFRH8P 93.25 Comdty,93.25,0.0975,p,
SFRH8P 93.5 Comdty,93.5,0.115,p,
SFRH8P 93.75 Comdty,93.75,0.1325,p,
SFRH8P 94 Comdty,94.0,0.1525,p,
SFRH8P 94.125 Comdty,94.125,0.165,p,
SFRH8P 94.25 Comdty,94.25,0.1775,p,
SFRH8P 94.375 Comdty,94.375,0.19,p,
SFRH8P 94.5 Comdty,94.5,0.205,p,
SFRH8P 94.625 Comdty,94.625,0.22,p,
SFRH8P 94.75 Comdty,94.75,0.2375,p,
SFRH8P 94.875 Comdty,94.875,0.255,p,
SFRH8P 95 Comdty,95.0,0.2725,p,
SFRH8P 95.125 Comdty,95.125,0.295,p,
SFRH8P 95.25 Comdty,95.25,0.3175,p,
SFRH8P 95.375 Comdty,95.375,0.34,p,
SFRH8P 95.5 Comdty,95.5,0.3675,p,75.0
SFRH8P 95.625 Comdty,95.625,0.395,p,
SFRH8P 95.75 Comdty,95.75,0.4225,p,
SFRH8P 95.875 Comdty,95.875,0.455,p,
SFRH8P 96 Comdty,96.0,0.49,p,
SFRH8P 96.125 Comdty,96.125,0.53,p,
SFRH8P 96.25 Comdty,96.25,0.575,p,
SFRH8P 96.375 Comdty,96.375,0.6225,p,
SFRH8P 96.5 Comdty,96.5,0.675,p,
SFRH8P 96.625 Comdty,96.625,0.735,p,
SFRH8P 96.75 Comdty,96.75,0.8,p,
SFRH8P 96.875 Comdty,96.875,0.8675,p,
SFRH8P 97 Comdty,97.0,0.9425,p,
SFRH8P 97.125 Comdty,97.125,1.02,p,
SFRH8P 97.25 Comdty,97.25,1.1025,p,
SFRH8P 97.375 Comdty,97.375,1.1875,p,
SFRH8P 97.5 Comdty,97.5,1.2775,p,
SFRH8P 97.625 Comdty,97.625,1.37,p,
SFRH8P 97.75 Comdty,97.75,1.4625,p,
SFRH8P 97.875 Comdty,97.875,1.56,p,
SFRH8P 98 Comdty,98.0,1.66,p,
SFRH8P 98.125 Comdty,98.125,1.7625,p,
SFRH8P 98.25 Comdty,98.25,1.8675,p,
SFRH8P 98.375 Comdty,98.375,1.9725,p,
SFRH8P 98.5 Comdty,98.5,2.08,p,
SFRH8P 98.75 Comdty,98.75,2.305,p,
SFRH8P 99 Comdty,99.0,2.5375,p,
SFRH8P 99.25 Comdty,99.25,2.78,p,
SFRH8P 99.5 Comdty,99.5,3.03,p,
SFRH8P 99.75 Comdty,99.75,3.28,p,
