ticker,opt_strike_px,last_price,type
SFRH9P 92 Comdty,92.0,0.0725,p
SFRH9P 92.25 Comdty,92.25,0.0825,p
SFRH9P 92.5 Comdty,92.5,0.095,p
SFRH9P 92.75 Comdty,92.75,0.1075,p
SFRH9P 93 Comdty,93.0,0.125,p
SFRH9P 93.25 Comdty,93.25,0.1425,p
SFRH9P 93.5 Comdty,93.5,0.1625,p
SFRH9P 93.75 Comdty,93.75,0.185,p
SFRH9P 94 Comdty,94.0,0.2125,p
SFRH9P 94.25 Comdty,94.25,0.245,p
SFRH9P 94.5 Comdty,94.5,0.28,p
SFRH9P 94.625 Comdty,94.625,0.3,p
SFRH9P 94.75 Comdty,94.75,0.3225,p
SFRH9P 94.875 Comdty,94.875,0.345,p
SFRH9P 95 Comdty,95.0,0.3725,p
SFRH9P 95.125 Comdty,95.125,0.4,p
SFRH9P 95.25 Comdty,95.25,0.43,p
SFRH9P 95.375 Comdty,95.375,0.4625,p
SFRH9P 95.5 Comdty,95.5,0.495,p
SFRH9P 95.625 Comdty,95.625,0.53,p
SFRH9P 95.75 Comdty,95.75,0.57,p
SFRH9P 95.875 Comdty,95.875,0.6125,p
SFRH9P 96 Comdty,96.0,0.655,p
SFRH9P 96.125 Comdty,96.125,0.7,p
SFRH9P 96.25 Comdty,96.25,0.7475,p
SFRH9P 96.375 Comdty,96.375,0.8025,p
SFRH9P 96.5 Comdty,96.5,0.8575,p
SFRH9P 96.625 Comdty,96.625,0.9175,p
SFRH9P 96.75 Comdty,96.75,0.9825,p
SFRH9P 96.875 Comdty,96.875,1.05,p
SFRH9P 97 Comdty,97.0,1.1225,p
SFRH9P 97.125 Comdty,97.125,1.2,p
SFRH9P 97.25 Comdty,97.25,1.2825,p
SFRH9P 97.375 Comdty,97.375,1.365,p
SFRH9P 97.5 Comdty,97.5,1.45,p
SFRH9P 97.625 Comdty,97.625,1.5425,p
SFRH9P 97.75 Comdty,97.75,1.635,p
SFRH9P 97.875 Comdty,97.875,1.73,p
SFRH9P 98 Comdty,98.0,1.8275,p
SFRH9P 98.125 Comdty,98.125,1.9325,p
SFRH9P 98.25 Comdty,98.25,2.0375,p
SFRH9P 98.5 Comdty,98.5,2.255,p
SFRH9P 98.75 Comdty,98.75,2.4775,p
SFRH9P 99 Comdty,99.0,2.7125,p
SFRH9P 99.25 Comdty,99.25,2.9525,p
SFRH9P 99.5 Comdty,99.5,3.2,p
SFRH9P 99.75 Comdty,99.75,3.45,p
