ticker,opt_strike_px,last_price,type
SFRM8P 101 Comdty,101.0,4.575,p
SFRM8P 101.25 Comdty,101.25,4.825,p
SFRM8P 101.5 Comdty,101.5,5.075,p
SFRM8P 101.75 Comdty,101.75,5.325,p
SFRM8P 102 Comdty,102.0,5.575,p
SFRM8P 102.25 Comdty,102.25,5.825,p
SFRM8P 102.5 Comdty,102.5,6.075,p
SFRM8P 90.25 Comdty,90.25,0.0225,p
SFRM8P 90.5 Comdty,90.5,0.0225,p
SFRM8P 90.75 Comdty,90.75,0.0225,p
SFRM8P 91 Comdty,91.0,0.025,p
SFRM8P 91.25 Comdty,91.25,0.0275,p
SFRM8P 91.5 Comdty,91.5,0.0325,p
SFRM8P 91.75 Comdty,91.75,0.04,p
SFRM8P 92 Comdty,92.0,0.0475,p
SFRM8P 92.25 Comdty,92.25,0.055,p
SFRM8P 92.5 Comdty,92.5,0.0625,p
SFRM8P 92.75 Comdty,92.75,0.07,p
SFRM8P 93 Comdty,93.0,0.08,p
SFRM8P 93.25 Comdty,93.25,0.095,p
SFRM8P 93.5 Comdty,93.5,0.11,p
SFRM8P 93.75 Comdty,93.75,0.13,p
SFRM8P 94 Comdty,94.0,0.15,p
SFRM8P 94.125 Comdty,94.125,0.16,p
SFRM8P 94.25 Comdty,94.25,0.1725,p
SFRM8P 94.375 Comdty,94.375,0.185,p
SFRM8P 94.5 Comdty,94.5,0.2,p
SFRM8P 94.625 Comdty,94.625,0.215,p
SFRM8P 94.75 Comdty,94.75,0.2325,p
SFRM8P 94.875 Comdty,94.875,0.2525,p
SFRM8P 95 Comdty,95.0,0.2725,p
SFRM8P 95.125 Comdty,95.125,0.2975,p
SFRM8P 95.25 Comdty,95.25,0.325,p
SFRM8P 95.375 Comdty,95.375,0.3525,p
SFRM8P 95.5 Comdty,95.5,0.38,p
SFRM8P 95.625 Comdty,95.625,0.41,p
SFRM8P 95.75 Comdty,95.75,0.445,p
SFRM8P 95.875 Comdty,95.875,0.4825,p
SFRM8P 96 Comdty,96.0,0.5225,p
SFRM8P 96.125 Comdty,96.125,0.5675,p
SFRM8P 96.25 Comdty,96.25,0.615,p
SFRM8P 96.375 Comdty,96.375,0.6675,p
SFRM8P 96.5 Comdty,96.5,0.7225,p
SFRM8P 96.625 Comdty,96.625,0.7825,p
SFRM8P 96.75 Comdty,96.75,0.845,p
SFRM8P 96.875 Comdty,96.875,0.91,p
SFRM8P 97 Comdty,97.0,0.9825,p
SFRM8P 97.125 Comdty,97.125,1.0575,p
SFRM8P 97.25 Comdty,97.25,1.1375,p
SFRM8P 97.375 Comdty,97.375,1.22,p
SFRM8P 97.5 Comdty,97.5,1.3075,p
SFRM8P 97.625 Comdty,97.625,1.3975,p
SFRM8P 97.75 Comdty,97.75,1.49,p
SFRM8P 97.875 Comdty,97.875,1.585,p
SFRM8P 98 Comdty,98.0,1.6875,p
SFRM8P 98.125 Comdty,98.125,1.79,p
SFRM8P 98.25 Comdty,98.25,1.895,p
SFRM8P 98.375 Comdty,98.375,2.0025,p
SFRM8P 98.5 Comdty,98.5,2.115,p
SFRM8P 98.75 Comdty,98.75,2.3425,p
SFRM8P 99 Comdty,99.0,2.5775,p
SFRM8P 99.25 Comdty,99.25,2.825,p
SFRM8P 99.5 Comdty,99.5,3.075,p
SFRM8P 99.75 Comdty,99.75,3.325,p
