ticker,opt_strike_px,last_price,type
SFRU8C 99.5 Comdty,99.5,0.0425,c
SFRU8C 99.75 Comdty,99.75,0.03,c
SFRU8P 100 Comdty,100.0,3.615,p
SFRU8P 100.25 Comdty,100.25,3.865,p
SFRU8P 100.5 Comdty,100.5,4.115,p
SFRU8P 100.75 Comdty,100.75,4.365,p
SFRU8P 101 Comdty,101.0,4.615,p
SFRU8P 101.25 Comdty,101.25,4.865,p
SFRU8P 101.5 Comdty,101.5,5.115,p
SFRU8P 101.75 Comdty,101.75,5.365,p
SFRU8P 102 Comdty,102.0,5.615,p
SFRU8P 102.25 Comdty,102.25,5.865,p
SFRU8P 102.5 Comdty,102.5,6.115,p
SFRU8P 90.25 Comdty,90.25,0.0225,p
SFRU8P 90.5 Comdty,90.5,0.025,p
SFRU8P 90.75 Comdty,90.75,0.025,p
SFRU8P 91 Comdty,91.0,0.025,p
SFRU8P 91.25 Comdty,91.25,0.0275,p
SFRU8P 91.5 Comdty,91.5,0.03,p
SFRU8P 91.75 Comdty,91.75,0.035,p
SFRU8P 92 Comdty,92.0,0.0425,p
SFRU8P 92.25 Comdty,92.25,0.0525,p
SFRU8P 92.5 Comdty,92.5,0.0625,p
SFRU8P 92.75 Comdty,92.75,0.075,p
SFRU8P 93 Comdty,93.0,0.0875,p
SFRU8P 93.25 Comdty,93.25,0.1,p
SFRU8P 93.5 Comdty,93.5,0.115,p
SFRU8P 93.75 Comdty,93.75,0.1325,p
SFRU8P 94 Comdty,94.0,0.155,p
SFRU8P 94.125 Comdty,94.125,0.1675,p
SFRU8P 94.25 Comdty,94.25,0.1825,p
SFRU8P 94.375 Comdty,94.375,0.2,p
SFRU8P 94.5 Comdty,94.5,0.2175,p
SFRU8P 94.625 Comdty,94.625,0.2375,p
SFRU8P 94.75 Comdty,94.75,0.2575,p
SFRU8P 94.875 Comdty,94.875,0.28,p
SFRU8P 95 Comdty,95.0,0.305,p
SFRU8P 95.125 Comdty,95.125,0.33,p
SFRU8P 95.25 Comdty,95.25,0.3575,p
SFRU8P 95.375 Comdty,95.375,0.385,p
SFRU8P 95.5 Comdty,95.5,0.415,p
SFRU8P 95.625 Comdty,95.625,0.45,p
SFRU8P 95.75 Comdty,95.75,0.485,p
SFRU8P 95.875 Comdty,95.875,0.52,p
SFRU8P 96 Comdty,96.0,0.56,p
SFRU8P 96.125 Comdty,96.125,0.6025,p
SFRU8P 96.25 Comdty,96.25,0.65,p
SFRU8P 96.375 Comdty,96.375,0.705,p
SFRU8P 96.5 Comdty,96.5,0.7625,p
SFRU8P 96.625 Comdty,96.625,0.825,p
SFRU8P 96.75 Comdty,96.75,0.8875,p
SFRU8P 96.875 Comdty,96.875,0.955,p
SFRU8P 97 Comdty,97.0,1.025,p
SFRU8P 97.125 Comdty,97.125,1.0975,p
SFRU8P 97.25 Comdty,97.25,1.1775,p
SFRU8P 97.375 Comdty,97.375,1.26,p
SFRU8P 97.5 Comdty,97.5,1.345,p
SFRU8P 97.625 Comdty,97.625,1.4375,p
SFRU8P 97.75 Comdty,97.75,1.53,p
SFRU8P 97.875 Comdty,97.875,1.6275,p
SFRU8P 98 Comdty,98.0,1.725,p
SFRU8P 98.125 Comdty,98.125,1.825,p
SFRU8P 98.25 Comdty,98.25,1.93,p
SFRU8P 98.375 Comdty,98.375,2.0375,p
SFRU8P 98.5 Comdty,98.5,2.155,p
SFRU8P 98.75 Comdty,98.75,2.3825,p
SFRU8P 99 Comdty,99.0,2.6175,p
SFRU8P 99.25 Comdty,99.25,2.865,p
SFRU8P 99.5 Comdty,99.5,3.115,p
SFRU8P 99.75 Comdty,99.75,3.365,p
